ID,Station Name,Distance,Line,Opened,Layout,Latitude,Longitude,WikiLink
12,Shahdara,15.03,Red,2002,Elevated,28.6731,77.2879,https://en.wikipedia.org/wiki/Shahdara_metro_station
13,Welcome,16.52,Red,2002,Elevated,28.6753,77.2779,https://en.wikipedia.org/wiki/Welcome_metro_station
14,Seelampur,17.72,Red,2002,Elevated,28.6698,77.2667,https://en.wikipedia.org/wiki/Seelampur_metro_station
15,Shastri Park,19.23,Red,2002,Elevated,28.6692,77.2492,https://en.wikipedia.org/wiki/Shastri_Park_metro_station
16,Kashmere Gate,21.13,Red,2002,Underground,28.6675,77.228,https://en.wikipedia.org/wiki/Kashmere_Gate_metro_station
17,Tis Hazari,22.55,Red,2002,Underground,28.6619,77.2187,https://en.wikipedia.org/wiki/Tis_Hazari_metro_station
18,Pulbangash,23.61,Red,2003,Underground,28.6663,77.2096,https://en.wikipedia.org/wiki/Pulbangash_metro_station
19,Pratap Nagar,24.68,Red,2003,Underground,28.6667,77.201,https://en.wikipedia.org/wiki/Pratap_Nagar_metro_station
20,Shastri Nagar,25.33,Red,2003,Underground,28.6703,77.1818,https://en.wikipedia.org/wiki/Shastri_Nagar_metro_station
21,Inderlok,26.49,Red,2003,Elevated,28.6734,77.1703,https://en.wikipedia.org/wiki/Inderlok_metro_station
22,Kanhaiya Nagar,27.69,Red,2004,Elevated,28.6589,77.1636,https://en.wikipedia.org/wiki/Kanhaiya_Nagar_metro_station
23,Keshav Puram,28.85,Red,2004,Elevated,28.6637,77.1534,https://en.wikipedia.org/wiki/Keshav_Puram_metro_station
24,Netaji Subhash Place,29.79,Red,2004,Elevated,28.6684,77.1488,https://en.wikipedia.org/wiki/Netaji_Subhash_Place_metro_station
25,Kohat Enclave,30.92,Red,2004,Elevated,28.6717,77.1389,https://en.wikipedia.org/wiki/Kohat_Enclave_metro_station
26,Pitampura,31.89,Red,2004,Elevated,28.6756,77.1307,https://en.wikipedia.org/wiki/Pitampura_metro_station
27,Rohini East,33.54,Red,2004,Elevated,28.6832,77.1218,https://en.wikipedia.org/wiki/Rohini_East_metro_station
28,Rohini West,34.95,Red,2004,Elevated,28.6894,77.1078,https://en.wikipedia.org/wiki/Rohini_West_metro_station
29,Rithala,36.24,Red,2004,Elevated,28.6928,77.1004,https://en.wikipedia.org/wiki/Rithala_metro_station
