Year,Total_Passengers_Million,Operational_Stations,Operational_Lines,Network_Length_KM,Daily_Avg_Ridership
2002,0,0,0,0,0
2003,22,12,1,8.3,60000
2004,85,59,3,44.5,233000
2005,150,80,3,65.1,411000
2006,260,105,4,95.3,712000
2007,390,105,4,95.3,1068000
2008,480,115,4,105.2,1315000
2009,600,135,5,150.4,1643000
2010,900,160,6,193.0,2465000
2011,1050,167,7,213.0,2877000
2012,1200,167,7,213.0,3288000
2013,1400,176,7,230.0,3836000
2014,1600,176,7,230.0,4384000
2015,1800,193,7,256.0,4932000
2016,2100,193,7,256.0,5753000
2017,2400,208,8,286.0,6575000
2018,2800,235,10,349.0,7671000
2019,3000,253,11,377.7,8219000
2020,850,253,11,377.7,2329000
2021,1200,253,11,377.7,3288000
2022,2500,253,11,377.7,6849000
2023,3200,258,11,393.0,8767000
2024,3500,258,11,393.0,9589000
2025,3800,261,12,400.0,10411000
